id,area,name,width,height
152e384f-7d80-4240-8995-bd75b78b582f,Manhattan,"2 Ave @ E 128 Street",352,240
f1912436-d91e-407e-b4a3-d163090f226f,Brooklyn,"Prospect St @ Old Fulton St -156.63",352,240
33ea5ed1-0d62-4f44-9fda-fda5c2327eed,Queens,"Main St @ Sanford Ave",352,240
053afe02-e1b3-4bea-9995-787e72c7fff4,Brooklyn,"Atlantic Ave @ Barclays Center",352,240
5adef8a1-5ad0-4a73-8d87-e1e545ba8cbb,Manhattan,"FDR Dr @ 73 St",352,240
8df73045-61fd-4394-b21a-dfa3f440d6e7,Staten Island,"C3-MLK-01-SB_at_Watchogue_Rd-Ex10",720,480
9c6dae83-0258-489e-a9cd-83396cf8dad7,Manhattan,"Lexington Ave @ E 128 Street",352,240
1dc7794b-62bb-4cb7-93ee-df87e5ac671d,Queens,"Clearview Expy @ 56 Ave",352,240
195870e2-8714-45c6-86ba-8ae079ef738c,Brooklyn,"McGuinness Blvd @ Green St",352,240
91567cf3-e527-4bb7-a6a6-e95656af5ca8,Manhattan,"1 Ave @ E 120 Street ",352,240
9955d671-39ad-4fb7-b63e-4e78cf6ac157,Brooklyn,"Flatbush Ave and 4 Ave",352,240
b19c9130-3a2d-4f7a-94a5-495eeea219ef,Bronx,"C1-BRE-11-SB_at_Buhre_Ave-Ex8A",720,480
76ce9adc-f73d-46b7-9ca7-fe6d7521b603,Queens,"Queens Plaza North @ 2811 (Westside)",352,240
260fc63c-773a-45e3-a04b-9f05c3184a44,Brooklyn,"Belt Pkwy @ Bay 8 St",352,240
34af619f-c745-4f09-a81c-e3635dd764c6,Staten Island,"Richmond Ave @ Forest Ave",352,240
a6bd09c7-9195-4e0b-ac0f-78114a7d63a1,Manhattan,"Park Ave @ E 125 St",352,240
138a0bcb-15af-46a4-baf0-8724016c73fa,Queens,"GCP @ Astoria Blvd @ 49 St",352,240
156b0613-239a-4e77-aa0e-0a4becfc0b05,Manhattan,"Lenox Ave @ 125 St",352,240
0dc7c2b4-614d-46a3-9610-3ba09f3f1284,Manhattan,"6 Ave @ 30 St",352,240
6728d273-d20b-44b7-868a-d54c00e50fab,Manhattan,"Amsterdam @ 178 St",352,240
2f504422-66f8-4ddc-805f-8744279a1a6e,Queens,"Northern Blvd @ 68 St",352,240
07b8616e-373e-4ec9-89cc-11cad7d59fcb,Manhattan,"Worth St @ Centre St",352,240
1e88b34b-2058-402e-9a3d-aca1c57696bf,Queens,"GCP @ 31 ST",352,240
0cef143f-b3d8-4066-84ee-6114fa6e76e0,Manhattan,"Lexington Ave @ E 110 Street",352,240
330e2a88-3cea-4ce5-b1a2-ae8440de9b1a,Manhattan,"1 Ave @ 84 St",352,240
04ffc69c-92a7-4c02-aa18-2b16e7ba81f2,Manhattan,"FDR Dr @ 36 St",352,240
2d1ed99a-c3d3-4616-a0d6-a9fe16f3e48c,Staten Island,"SIE @ Clove Rd",352,240
175cc1f1-0543-41c9-85fb-464ec29687de,Manhattan,"Park Ave @ E 116 Street",352,240
420a58c7-3b5b-4a20-9f8d-d722d03f19ca,Bronx,"Bruckner Blvd E @ Castle Hill Ave ",352,240
f1acca9b-0030-49c5-b589-33ab6ac24657,Bronx,"C1-TNE-01-SB_at_Otis-Ave",720,480
06ea08ec-5cd8-4bd6-9535-502acf651abc,Manhattan,"5 Ave @ 86 St",352,240
41610046-fbab-40be-b824-4afa48119bec,Brooklyn,"C2-BQE-28-WB_at_Manhattan_Ave-Ex33",720,480
1fe143ba-7133-422f-b594-d6712559c523,Manhattan,"2 Ave @ 125 St",352,240
5caa3ace-277b-42db-97bd-585f29b0d49f,Manhattan,"Central Park West @ W 61 St",352,240
351d3d12-fd9e-4e4c-b279-cd8f3f1f194c,Bronx,"C1-MDE-01-Cntr_at_E.135th_St-Ex1",720,480
572b1058-c33a-4de2-8f35-0f3e9e92bc33,Bronx,"CBX @ Morris Ave & 174th ST",352,240
3793f20a-28ce-411d-b09b-f7baa2b6d55b,Queens,"Grand Central Pkwy @ Midland Pkwy - 62.138",<nil>,<nil>
0bf496dc-36dd-4311-808e-84ab6acec605,Queens,"Queens Blvd @ 63 Dr",352,240
40213626-3ef8-4d63-be77-e1d84ca4d19c,Brooklyn,"Metropolitan Ave @ Berry St",352,240
36672d97-80d3-48f0-b3c4-6e6125069b90,Manhattan,"Riverside Dr @ 79 St",352,240
74915f83-bee1-46f3-be10-24e121eda081,Manhattan,"Lexington Ave @ E 125 St",352,240
60982889-171e-4208-ae1d-8f179f91231e,Queens,"Queens Blvd E/B @ 43 St",352,240
2ade65cd-0d12-4c31-9a65-da75d9d62d4e,Brooklyn,"Hicks St NB @ Sackett St",352,240
5ce5f31b-fce3-4f60-9534-5986c8b668eb,Manhattan,"3 Ave @ E 120 Street",352,240
abda729c-9f02-4ecf-b164-228b1528cfac,Queens,"Queens Blvd @ Skillman",352,240
60fbce69-38fa-42b2-9ae8-41aea66abddf,Brooklyn,"Sands St @ Brooklyn Bridge Ent",352,240
83404149-7deb-43ee-81b5-66fe804c0feb,Brooklyn,"BB-63 North Rdwy@ Bklyn Twr East",352,240
